ID,MouseID,sireID,damID,mouseNum,sireNum,damNum,generation
41,20,NA,NA,41,NA,NA,0
54,20Sire,NA,NA,54,NA,NA,0
43,21,NA,NA,43,NA,NA,0
61,21Sire,NA,NA,61,NA,NA,0
44,22,NA,NA,44,NA,NA,0
65,22Sire,NA,NA,65,NA,NA,0
45,23,NA,NA,45,NA,NA,0
68,23Sire,NA,NA,68,NA,NA,0
46,24,NA,NA,46,NA,NA,0
72,24Sire,NA,NA,72,NA,NA,0
42,25,NA,NA,42,NA,NA,0
58,25Sire,NA,NA,58,NA,NA,0
40,5,NA,NA,40,NA,NA,0
51,5Sire,NA,NA,51,NA,NA,0
1,20.3,20Sire,20,1,54,41,1
55,20.3Dam,NA,NA,55,NA,NA,1
23,20.4,20Sire,20,23,54,41,1
28,21.1,21Sire,21,28,61,43,1
7,21.2,21Sire,21,7,61,43,1
29,21.3,21Sire,21,29,61,43,1
62,21.3Dam,NA,NA,62,NA,NA,1
12,22.2,22Sire,22,12,65,44,1
66,22.2Dam,NA,NA,66,NA,NA,1
30,23.2,23Sire,23,30,68,45,1
8,23.3,23Sire,23,8,68,45,1
69,23.3Dam,NA,NA,69,NA,NA,1
31,23.4,23Sire,23,31,68,45,1
32,24.1,24Sire,24,32,72,46,1
73,24.1Dam,NA,NA,73,NA,NA,1
33,24.4,24Sire,24,33,72,46,1
2,25.4,25Sire,25,2,58,42,1
59,25.4Dam,NA,NA,59,NA,NA,1
19,5.1,5Sire,5,19,51,40,1
22,5.2,5Sire,5,22,51,40,1
27,5.3,5Sire,5,27,51,40,1
26,5.4,5Sire,5,26,51,40,1
52,5.4Dam,NA,NA,52,NA,NA,1
16,5.5,5Sire,5,16,51,40,1
53,5.5Dam,NA,NA,53,NA,NA,1
3,20.3.1,20.3,20.3Dam,3,1,55,2
47,20.3.2,20.3,20.3Dam,47,1,55,2
56,20.3.2Dam,NA,NA,56,NA,NA,2
48,20.3.5,20.3,20.3Dam,48,1,55,2
57,20.3.5Dam,NA,NA,57,NA,NA,2
63,21.3.2,21.3,21.3Dam,63,29,62,2
64,21.3.2Dam,NA,NA,64,NA,NA,2
34,21.3.3,21.3,21.3Dam,34,29,62,2
13,21.3.4,21.3,21.3Dam,13,29,62,2
9,22.2.1,22.2,22.2Dam,9,12,66,2
50,22.2.3,22.2,22.2Dam,50,12,66,2
67,22.2.3Dam,NA,NA,67,NA,NA,2
35,22.2.4,22.2,22.2Dam,35,12,66,2
70,23.3.1,23.3,23.3Dam,70,8,69,2
71,23.3.1Dam,NA,NA,71,NA,NA,2
14,23.3.3,23.3,23.3Dam,14,8,69,2
36,24.1.1,24.1,24.1Dam,36,32,73,2
74,24.1.5,24.1,24.1Dam,74,32,73,2
75,24.1.5Dam,NA,NA,75,NA,NA,2
4,25.4.1,25.4,25.4Dam,4,2,59,2
49,25.4.3,25.4,25.4Dam,49,2,59,2
60,25.4.3Dam,NA,NA,60,NA,NA,2
21,25.4.4,25.4,25.4Dam,21,2,59,2
20,5.4.3,5.4,5.4Dam,20,26,52,2
17,5.5.1,5.5,5.5Dam,17,16,53,2
18,5.5.2,5.5,5.5Dam,18,16,53,2
24,20.3.2.1,20.3.2,20.3.2Dam,24,47,56,3
5,20.3.2.2,20.3.2,20.3.2Dam,5,47,56,3
25,20.3.5.5,20.3.5,20.3.5Dam,25,48,57,3
10,21.3.2.5,21.3.2,21.3.2Dam,10,63,64,3
15,22.2.3.2,22.2.3,22.2.3Dam,15,50,67,3
38,22.2.3.5,22.2.3,22.2.3Dam,38,50,67,3
11,23.3.1.1,23.3.1,23.3.1Dam,11,70,71,3
39,24.1.5.3,24.1.5,24.1.5Dam,39,74,75,3
37,25.4.3.2,25.4.3,25.4.3Dam,37,49,60,3
6,25.4.3.6,25.4.3,25.4.3Dam,6,49,60,3
