Geneid	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample56	sample57	sample51	sample52	sample53	sample54	sample55
PTmerged1	622	404	862	416	755	739	796	473	83	72	80	63	50	63	72	69	87	51
PTmerged2	15	15	71	23	0	0	0	0	0	0	0	1	2	0	0	0	0	0
PTmerged3	22	9	11	13	111	139	194	53	1976	2117	2078	56	47	160	206	160	316	318
PTmerged4	2521	1876	4320	1999	6081	5037	5828	3657	484	471	481	446	374	513	658	557	551	537
PTmerged5	182	112	306	142	456	393	529	244	208	187	217	233	178	222	266	240	192	176
PTmerged6	1396	798	1845	2033	794	839	1136	566	20304	17597	20290	9196	7894	18551	23330	20966	15012	12419
PTmerged7	1159	661	1731	822	2305	2150	2404	1293	236	215	217	150	168	209	226	215	198	174
PTmerged8	840	451	1246	541	1784	1573	1850	948	215	175	214	201	167	181	264	217	192	178
PTmerged9	693	422	1168	487	1339	1056	1222	672	52	31	64	68	43	72	87	87	48	59
PTmerged10	42	28	80	48	63	53	86	38	495	427	498	137	137	513	658	573	359	333
PTmerged11	943	769	1409	673	1713	1308	1430	1096	192	191	197	228	148	219	294	272	183	186
PTmerged12	140	134	253	149	155	167	175	75	219	301	245	214	196	308	320	285	224	211
PTmerged13	392	363	673	324	514	435	587	330	164	197	166	199	161	342	385	298	133	141
PTmerged14	7022	4113	10413	4495	0	0	0	0	1002	863	922	769	716	462	539	474	1191	1071
PTmerged16	2924	2335	4896	4099	3297	3313	4968	1831	22040	19850	21603	36971	33058	31690	40067	35386	37567	33319
PTmerged17	7001	4968	9751	11847	7744	8290	10611	6183	143640	128743	138875	149158	131867	125282	155767	136992	169535	145107
PTmerged18	1213	801	1848	919	1958	1764	2188	1249	177	148	158	156	119	129	205	144	117	121
PTmerged19	1147	832	1942	879	1286	1212	1526	821	167	134	120	169	133	236	315	233	176	138
PTmerged22	93	126	194	97	127	134	130	64	162	166	176	169	152	206	234	175	257	227
PTmerged23	3497	2281	5954	2538	5520	4979	5965	3365	540	556	481	578	468	615	756	664	588	481
PTmerged24	647	375	973	482	1006	878	1007	473	810	730	812	955	774	646	886	753	965	847
