SampleID	Strain	Tissue	Batch
sample01	ICR	testis	1
sample02	ICR	testis	1
sample03	ICR	testis	1
sample04	ICR	testis	1
sample05	ICR	testis	1
sample06	ICR	testis	1
sample07	ICR	testis	1
sample08	ICR	testis	1
sample09	ICR	testis	1
sample10	ICR	testis	1
sample11	ICR	testis	1
sample12	ICR	testis	1
sample13	ICR	testis	1
sample14	ICR	testis	1
sample15	ICR	testis	1
sample16	ICR	testis	2
sample17	ICR	testis	2
sample18	ICR	testis	2
sample19	ICR	testis	2
sample20	ICR	testis	2
sample21	ICR	testis	2
sample22	ICR	testis	2
sample23	ICR	testis	2
sample24	ICR	testis	2
sample25	ICR	testis	2
sample26	ICR	testis	2
sample27	ICR	testis	2
sample28	ICR	testis	2
sample29	ICR	testis	2
sample30	ICR	testis	2
sample31	ICR	testis	2
sample32	ICR	testis	2
sample33	ICR	testis	2
sample34	ICR	testis	2
sample35	ICR	testis	2
sample36	ICR	testis	2
sample37	ICR	testis	2
sample38	ICR	testis	2
sample39	ICR	testis	2
sample40	BL6	spermatogonia	3
sample41	BL6	spermatogonia	3
sample42	BL6	spermatogonia	3
sample43	BL6	spermatogonia	3
sample44	CAST	spermatogonia	3
sample45	CAST	spermatogonia	3
sample46	CAST	spermatogonia	3
sample47	CAST	spermatogonia	3
sample48	129	testis	3
sample49	129	testis	3
sample50	129	testis	3
sample51	C3H	testis	3
sample52	C3H	testis	3
sample53	C3H	testis	3
sample54	NOD	testis	3
sample55	NOD	testis	3
sample56	BL6	testis	3
sample57	BL6	testis	3
