piCID,Chromosome,Start,End,Strand,ClusterName,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57
piC1,1,34813227,34843022,-,pi-Fam168b,2567,1905,4421,2026,6094,5034,5833,3665,488,480,485,514,667,566,554,543,453,381
piC2,1,57348976,57377520,-,1-qC1.3-637,1403,802,1869,2058,793,851,1146,570,20494,17732,20445,18706,23490,21127,15155,12528,9259,7958
piC3,1,88258856,88277518,-,pi-Hjurp,7080,4158,10519,4533,26,15,14,19,1005,866,925,460,546,472,1196,1071,770,716
piC4,1,91403056,91406029,-,1-qD-2017,4269,3704,5926,8106,6920,7225,10182,4998,74656,64159,74702,28858,36469,31622,53160,49760,51372,46138
piC5,1,91540016,91559583,+,pi-Asb1,2937,2350,4921,4111,3314,3334,4991,1839,22063,19880,21622,31723,40108,35411,37612,33360,37028,33112
piC6,1,92992345,92997067,-,1-qD-4525,6938,4891,9646,11680,7713,8248,10537,6144,142174,127449,137735,124018,154242,135676,169239,144788,147614,130851
piC7,1,93803500,93822102,+,pi-Ing5,1825,1382,2960,1342,7073,5188,6160,4238,450,358,411,370,440,336,385,383,389,327
piC8,1,118459145,118459266,-,1-qE2.3-2,2660,3226,4562,1380,2628,2443,2902,2893,173,173,177,127,177,161,195,144,204,207
piC9,1,118627945,118685162,+,pi-Tfcp2l1,3559,2322,6050,2582,5600,5057,6028,3412,552,568,491,623,768,673,597,486,593,480
piC10,1,125174892,125177979,+,1-qE3-706,1248,771,1531,2015,1565,1536,1980,1306,28746,24677,27829,20044,27270,23032,46115,39722,28320,24574
piC11,1,132007618,132031584,+,pi-Elk4,6589,3977,11147,5122,16019,12758,15371,9122,1123,1034,1002,1157,1417,1233,1273,1156,1077,942
piC12,1,133131138,133139782,+,pi-Ppp1r15b,1683,1064,2374,1340,4132,3515,3892,2398,360,395,402,463,546,465,402,361,446,409
